size,time_ns,waste
500,1958600,5.109813056308468
500,2478700,5.56330352131593
500,2034100,5.2459055334968525
500,1961700,4.0969455953109275
500,2284500,5.10172237233013
500,2170900,5.326509143033377
500,2279500,4.953690130993607
500,2435000,3.9672976909294277
500,1922600,5.262699304357994
500,2136200,4.898934490891207
1024,4719600,6.444078675246658
1024,5048900,5.124813461278507
1024,5435700,7.724357431827741
1024,4172700,8.267491084356834
1024,4672800,7.1150544108487
1024,4348100,6.118871460917262
1024,4435000,8.705837599195604
1024,4876600,6.576173712275704
1024,4525800,8.30296997770455
1024,4556300,7.870523621700613
2500,13356200,15.303946263045873
2500,11664700,12.520185052275792
2500,13868800,10.363857747725774
2500,11973100,13.7151216350494
2500,13205900,14.234442560734692
2500,11614800,11.534378640920067
2500,12447100,11.927473616560292
2500,13682700,10.26396125663939
2500,13030000,12.124146513706705
2500,11743800,13.743325934224004
5000,34122700,16.16169871137936
5000,25607500,20.557879624481984
5000,24442500,22.33843649623077
5000,32379200,19.917122571851905
5000,26391700,19.07067440695596
5000,27733100,19.287206183278386
5000,27063400,20.6630997257148
5000,30348600,24.527595971051824
5000,27827500,21.65695064749002
5000,25911900,22.511234166526947
8192,46418200,35.168408889159764
8192,52481500,33.95568893062682
8192,45278900,32.673027000987986
8192,47546800,29.25072776791012
8192,45621100,32.842103650977606
8192,45052900,28.63818130030404
8192,47237400,30.720557470438052
8192,43678000,33.24268605415273
8192,46165800,27.26746014485161
8192,42905400,30.605206673278644
32678,358708300,104.75686877109001
32678,206976900,91.8826290863035
32678,215168500,100.13476842284399
32678,204131200,91.80567970928496
32678,211046800,103.45766128293144
32678,206760000,93.73583223335118
32678,220656600,109.7664369103768
32678,201214500,103.12500916048884
32678,206629400,99.66106248692086
32678,219459700,104.26050819471857
131072,906036600,336.32137403527304
131072,897826400,346.05891217615863
131072,976775700,347.37484737946943
131072,1025829100,357.2374944250987
131072,1029175800,337.8473635184055
131072,1045465100,338.83311112313095
131072,1048772200,343.6096047223691
131072,1165402700,366.2175597390451
131072,1081735700,341.6352743750758
131072,908520200,338.78390812726866
1048576,12343473200,2520.5464956530486
1048576,11559166100,2433.07104926568
1048576,11158414500,2515.5701240786584
1048576,10889670200,2546.6986773955286
1048576,10881438000,2557.4191943428596
1048576,10752631000,2524.8291715743835
1048576,10845114100,2523.0243215412484
1048576,10555944900,2547.6534454686916
1048576,10636093300,2563.0104662081576
1048576,10852308300,2507.677926586475
