size,time_ns
500,2319100
500,2368600
500,2491600
500,2097300
500,2344200
500,2628600
500,2233100
500,2287700
500,2261900
500,2164800
1024,4735800
1024,4675100
1024,4439500
1024,5041300
1024,4503000
1024,4497100
1024,6090000
1024,4716100
1024,5365700
1024,4617400
2500,12132700
2500,12645500
2500,13569300
2500,10966500
2500,11608800
2500,13395700
2500,13982100
2500,12784600
2500,12459600
2500,12414200
5000,26259400
5000,26933700
5000,28089400
5000,25844900
5000,26164400
5000,28313600
5000,25224000
5000,27301400
5000,26308600
5000,27578900
8192,47030300
8192,45048100
8192,45337200
8192,46279400
8192,62165900
8192,42881900
8192,46657000
8192,70754300
8192,56704100
8192,57335400
32678,202660000
32678,207219100
32678,203231900
32678,203057300
32678,195677500
32678,200541800
32678,202618900
32678,193918000
32678,225485200
32678,212740900
131072,954789300
131072,1080205300
131072,1020783600
131072,1002672200
131072,966969800
131072,1056595600
131072,1096381100
131072,1114208500
131072,1049070500
131072,959742000
1048576,11569457500
1048576,11228532400
1048576,11428560000
1048576,11073885700
1048576,11878428200
1048576,10538154400
1048576,10339943600
1048576,10700800000
1048576,11901841900
1048576,10631158900
