size,time_ns
500,3201400
500,3351100
500,3033800
500,3474900
500,3608700
500,3133900
500,3645200
500,3194700
500,4285600
500,3506200
1024,8858200
1024,8273700
1024,7609100
1024,8333300
1024,6919200
1024,7094300
1024,7622100
1024,8363600
1024,6683300
1024,6825400
2500,21549900
2500,30523500
2500,20560400
2500,19849100
2500,21476000
2500,29471900
2500,20190300
2500,20052700
2500,21547200
2500,20597900
5000,47899600
5000,41489800
5000,45795300
5000,46256900
5000,44711100
5000,43945700
5000,44277500
5000,41866200
5000,39074100
5000,43395900
8192,77855700
8192,75899900
8192,78267600
8192,78757900
8192,95101000
8192,75098200
8192,74569300
8192,86637500
8192,97473400
8192,99683500
32678,363436400
32678,323507200
32678,325125100
32678,367160300
32678,332655800
32678,346886700
32678,341421100
32678,351443900
32678,378421100
32678,324966600
131072,1653339300
131072,1684954500
131072,1692402600
131072,1641453800
131072,1614047700
131072,1560904600
131072,1939046500
131072,1659841500
131072,1656743900
131072,1639060500
1048576,16581678200
1048576,17321848300
1048576,16433970500
1048576,16904731700
1048576,15826226300
1048576,16907942700
1048576,15787162500
1048576,16524359100
1048576,16062954600
1048576,15799955600
