size,time_ns
500,4353600
500,3758800
500,5032500
500,4106500
500,4334900
500,4530400
500,6491500
500,3686000
500,7006100
500,4908600
1024,11834200
1024,8613400
1024,9206600
1024,9581000
1024,9108800
1024,10306600
1024,9295100
1024,8909800
1024,8526600
1024,9311700
2500,24980600
2500,24707600
2500,25234600
2500,28236700
2500,24999300
2500,44769900
2500,25398800
2500,31207000
2500,26522700
2500,27462500
5000,59917700
5000,66943700
5000,61913300
5000,54910500
5000,59526100
5000,54347100
5000,57195400
5000,58332100
5000,52772000
5000,56354900
8192,114007000
8192,96870700
8192,100608100
8192,96174100
8192,132380500
8192,92092900
8192,106206400
8192,127786100
8192,107755400
8192,124109300
32678,477118000
32678,455873700
32678,453038300
32678,475670300
32678,481181500
32678,482148100
32678,473153100
32678,463739700
32678,447846500
32678,470304400
131072,2195229500
131072,2157230000
131072,2438746400
131072,2346403200
131072,2291221700
131072,2530181800
131072,2478333800
131072,2361336400
131072,2169743100
131072,2258485200
1048576,25641421900
1048576,25810056400
1048576,27169931700
1048576,24546873700
1048576,25323559200
1048576,24849604100
1048576,25279829200
1048576,24724734700
1048576,24913227800
1048576,25820474100
