size,time_ns
500,296700
500,282500
500,390300
500,532100
500,359100
500,289200
500,295200
500,288400
500,312300
500,553600
1024,616900
1024,1045800
1024,609600
1024,715100
1024,669100
1024,989800
1024,611300
1024,723400
1024,643300
1024,587300
2500,1435200
2500,2380700
2500,1445900
2500,1434400
2500,1432700
2500,1538600
2500,1446900
2500,1649800
2500,1561400
2500,1532500
5000,3078300
5000,2979300
5000,3099000
5000,3078000
5000,3185200
5000,3129600
5000,3167400
5000,3012800
5000,3028700
5000,2841400
8192,4959400
8192,5069200
8192,5258900
8192,5079900
8192,8351700
8192,5529300
8192,4993500
8192,4819800
8192,5429900
8192,7041500
32678,29903800
32678,19814400
32678,22599200
32678,20495400
32678,20474500
32678,21103400
32678,20118700
32678,20043200
32678,21333900
32678,22763400
131072,81897400
131072,89288900
131072,87687800
131072,87596400
131072,87820500
131072,86888900
131072,98297500
131072,94568900
131072,87989600
131072,85696800
1048576,739563200
1048576,799941500
1048576,762908300
1048576,908111400
1048576,745685900
1048576,787151700
1048576,750116200
1048576,750057300
1048576,758641500
1048576,751341700
